name,country,pool,position,team,on_40_man,role
Alek Thomas,MEX,B (Houston),CF,Arizona Diamondbacks,True,batter
Victor Vodnik,MEX,B (Houston),RHP,Colorado Rockies,True,pitcher
Taijuan Walker,MEX,B (Houston),RHP,Philadelphia Phillies,True,pitcher
Dane Dunning,KOR,C (Tokyo),RHP,Seattle Mariners,False,pitcher
Woo Suk Go,KOR,C (Tokyo),RHP,Detroit Tigers,False,pitcher
Jahmai Jones,KOR,C (Tokyo),LF,Detroit Tigers,True,batter
Hyeseong Kim,KOR,C (Tokyo),2B,Los Angeles Dodgers,True,batter
Jung-Hoo Lee,KOR,C (Tokyo),CF,San Francisco Giants,True,batter
Riley O'Brien,KOR,C (Tokyo),RHP,St. Louis Cardinals,True,pitcher
Shay Whitcomb,KOR,C (Tokyo),2B,Houston Astros,True,batter
Po-Yu Chen,TPE,C (Tokyo),RHP,Pittsburgh Pirates,False,pitcher
Tsung-Che Cheng,TPE,C (Tokyo),SS,Washington Nationals,False,batter
Stuart Fairchild,TPE,C (Tokyo),CF,Cleveland Guardians,False,batter
Hao-Yu Lee,TPE,C (Tokyo),IF,Detroit Tigers,True,batter
Wei-En Lin,TPE,C (Tokyo),LHP,Athletics,False,pitcher
Yu-Min Lin,TPE,C (Tokyo),LHP,Arizona Diamondbacks,False,pitcher
Jonathon Long,TPE,C (Tokyo),1B,Chicago Cubs,False,batter
Tzu-Chen Sha,TPE,C (Tokyo),RHP,Athletics,False,pitcher
Chen Zhong-Ao Zhuang,TPE,C (Tokyo),RHP,Athletics,True,pitcher
Ozzie Albies,NED,D (Miami),2B,Atlanta Braves,True,batter
Xander Bogaerts,NED,D (Miami),SS,San Diego Padres,True,batter
Jamdrick Cornelia,NED,D (Miami),LHP,New York Mets,False,pitcher
Dayson Croes,NED,D (Miami),OF,San Francisco Giants,False,batter
Jaydenn Estanista,NED,D (Miami),RHP,Philadelphia Phillies,False,pitcher
Kenley Jansen,NED,D (Miami),RHP,Detroit Tigers,True,pitcher
Druw Jones,NED,D (Miami),OF,Arizona Diamondbacks,False,batter
