mlbam_id,player_name,country,PA,AB,H,1B,2B,3B,HR,BB,HBP,K,TB,AVG,OBP,SLG,OPS,K_pct,BB_pct,xwOBA,avg_exit_velo,avg_launch_angle
675085,"Long, Jonathon",TPE,9,7,2,1,1,0,0,2,0,1,3,0.286,0.444,0.429,0.873,11.1,22.2,,,
608324,"Bregman, Alex",USA,1168,1047,280,172,60,2,46,100,15,163,482,0.267,0.338,0.46,0.799,14.0,8.6,0.332,84.5,22.0
621439,"Buxton, Byron",USA,953,866,235,120,50,10,55,61,18,256,470,0.271,0.329,0.543,0.872,26.9,6.4,0.352,85.2,17.9
682998,"Carroll, Corbin",USA,1353,1177,293,153,55,32,53,143,17,286,571,0.249,0.335,0.485,0.82,21.1,10.6,0.349,83.8,17.1
676391,"Clement, Ernie",USA,1135,1069,301,210,62,7,22,40,8,108,443,0.282,0.307,0.414,0.722,9.5,3.5,0.297,80.9,19.8
691718,"Crow-Armstrong, Pete",USA,1086,990,242,141,50,10,41,51,15,263,435,0.244,0.284,0.439,0.723,24.2,4.7,0.306,81.9,21.8
502671,"Goldschmidt, Paul",USA,1220,1117,288,189,65,2,32,85,7,281,453,0.258,0.311,0.406,0.717,23.0,7.0,0.332,84.8,20.7
547180,"Harper, Bryce",USA,1263,1092,295,160,77,0,58,156,8,272,546,0.27,0.363,0.5,0.863,21.5,12.4,0.364,83.7,16.8
683002,"Henderson, Gunnar",USA,1390,1225,339,205,66,12,56,142,14,301,597,0.277,0.356,0.487,0.843,21.7,10.2,0.358,84.7,14.9
592450,"Judge, Aaron",USA,1501,1193,385,194,72,3,116,276,19,365,811,0.323,0.453,0.68,1.133,24.3,18.4,0.465,87.7,21.5
663728,"Raleigh, Cal",USA,1411,1212,285,141,42,0,102,175,15,389,633,0.235,0.337,0.522,0.859,27.6,12.4,0.358,85.2,24.6
656941,"Schwarber, Kyle",USA,1472,1225,298,149,49,2,98,221,17,413,645,0.243,0.364,0.527,0.891,28.1,15.0,0.391,87.3,18.8
669257,"Smith, Will",USA,1115,958,249,156,46,3,44,125,18,223,433,0.26,0.352,0.452,0.804,20.0,11.2,0.353,83.9,24.6
668930,"Turang, Brice",USA,1344,1203,325,237,56,6,26,122,4,272,471,0.27,0.336,0.392,0.727,20.2,9.1,0.317,81.9,18.5
677951,"Witt Jr., Bobby",USA,1446,1306,408,243,92,17,56,108,16,241,702,0.312,0.368,0.538,0.905,16.7,7.5,0.385,85.6,23.2
677800,"Abreu, Wilyer",VEN,903,805,195,105,50,2,38,86,3,240,363,0.242,0.315,0.451,0.765,26.6,9.5,0.327,83.6,26.1
660670,"Acuña Jr., Ronald",VEN,650,544,151,103,21,2,25,99,6,157,251,0.278,0.394,0.461,0.855,24.2,15.2,0.38,83.7,16.8
650333,"Arraez, Luis",VEN,1406,1312,392,310,62,7,13,60,10,55,507,0.299,0.329,0.386,0.715,3.9,4.3,0.317,81.7,18.5
694192,"Chourio, Jackson",VEN,1235,1143,318,194,68,9,47,75,6,256,545,0.278,0.323,0.477,0.8,20.7,6.1,0.319,83.9,15.9
661388,"Contreras, William",VEN,1406,1225,330,218,67,2,43,165,7,273,530,0.269,0.357,0.433,0.79,19.4,11.7,0.345,85.4,11.8
575929,"Contreras, Willson",VEN,937,806,209,122,49,1,37,90,35,244,371,0.259,0.356,0.46,0.817,26.0,9.6,0.362,83.5,15.7
672580,"Garcia, Maikel",VEN,1329,1204,315,215,67,10,23,107,1,193,471,0.262,0.318,0.391,0.709,14.5,8.1,0.321,84.9,14.6
665926,"Giménez, Andrés",VEN,1143,1036,247,188,37,2,20,61,30,193,348,0.238,0.296,0.336,0.632,16.9,5.3,0.301,80.3,15.0
521692,"Perez, Salvador",VEN,1337,1230,315,190,65,0,60,72,24,262,560,0.256,0.307,0.455,0.763,19.6,5.4,0.358,84.5,20.5
691594,"Sanoja, Javier",VEN,389,358,87,52,25,4,6,21,2,47,138,0.243,0.283,0.385,0.668,12.1,5.4,0.277,82.0,15.1
553993,"Suárez, Eugenio",VEN,1371,1227,294,150,58,2,84,101,25,397,608,0.24,0.306,0.496,0.802,29.0,7.4,0.326,83.4,18.9
650402,"Torres, Gleyber",VEN,1426,1233,314,227,53,0,34,166,9,260,469,0.255,0.343,0.38,0.723,18.2,11.6,0.339,83.5,21.8
678662,"Tovar, Ezequiel",VEN,1106,1034,273,165,64,9,35,46,5,304,460,0.264,0.293,0.445,0.738,27.5,4.2,0.301,81.6,21.6
